	time	voltage
0	3600.0	0.0377384
1	3602.0	0.0377384
2	3604.0	0.0377384
3	3606.0	0.0377384
4	3608.0	0.0377306
5	3610.0	0.0377306
6	3612.0	0.0377306
7	3614.0	0.0377306
8	3616.0	0.0377306
9	3618.0	0.0377306
10	3620.0	0.0377306
11	3622.0	0.0377306
12	3624.0	0.0377228
13	3626.0	0.0377228
14	3628.0	0.0377306
15	3630.0	0.0377306
16	3632.0	0.0377306
17	3634.0	0.0377306
18	3636.0	0.0377228
19	3638.0	0.0377228
20	3640.0	0.0377228
21	3642.0	0.0377306
22	3644.0	0.0377306
23	3646.0	0.0377306
24	3648.0	0.0377228
25	3650.0	0.0377228
26	3652.0	0.0377306
27	3654.0	0.0377306
28	3656.0	0.0377306
29	3658.0	0.0377306
30	3660.0	0.0377228
31	3662.0	0.0377306
32	3664.0	0.0377228
33	3666.0	0.0377228
34	3668.0	0.0377228
35	3670.0	0.0377228
36	3672.0	0.0377228
37	3674.0	0.0377228
38	3676.0	0.0377228
39	3678.0	0.0377228
40	3680.0	0.0377228
41	3682.0	0.037715
42	3684.0	0.037715
43	3686.0	0.037715
44	3688.0	0.037715
45	3690.0	0.037715
46	3692.0	0.037715
47	3694.0	0.037715
48	3696.0	0.037715
49	3698.0	0.037715
50	3700.0	0.037715
51	3702.0	0.037715
52	3704.0	0.037715
53	3706.0	0.037715
54	3708.0	0.037715
55	3710.0	0.0377071
56	3712.0	0.0377071
57	3714.0	0.0377071
58	3716.0	0.0377071
59	3718.0	0.0377071
60	3720.0	0.0377071
61	3722.0	0.0377071
62	3724.0	0.0377071
63	3726.0	0.0377071
64	3728.0	0.0377071
65	3730.0	0.0377071
66	3732.0	0.0377071
67	3734.0	0.0377071
68	3736.0	0.0377071
69	3738.0	0.0377071
70	3740.0	0.0377071
71	3742.0	0.0377071
72	3744.0	0.0377071
73	3746.0	0.0377071
74	3748.0	0.0377071
75	3750.0	0.0377071
76	3752.0	0.0377071
77	3754.0	0.0377071
78	3756.0	0.0377071
79	3758.0	0.0377071
80	3760.0	0.0377071
81	3762.0	0.0377071
82	3764.0	0.0377071
83	3766.0	0.0377071
84	3768.0	0.0377071
85	3770.0	0.0377071
86	3772.0	0.0376994
87	3774.0	0.0376994
88	3776.0	0.0377071
89	3778.0	0.0377071
90	3780.0	0.0376994
91	3782.0	0.0376994
92	3784.0	0.0376916
93	3786.0	0.0376916
94	3788.0	0.0376916
95	3790.0	0.0376916
96	3792.0	0.0376916
97	3794.0	0.0376916
98	3796.0	0.0376916
99	3798.0	0.0376916
100	3800.0	0.0376916
101	3802.0	0.0376916
102	3804.0	0.0376916
103	3806.0	0.0376916
104	3808.0	0.0376916
105	3810.0	0.0376916
106	3812.0	0.0376916
107	3814.0	0.0376916
108	3816.0	0.0376916
109	3818.0	0.0376916
110	3820.0	0.0376838
111	3822.0	0.0376916
112	3824.0	0.0376838
113	3826.0	0.0376838
114	3828.0	0.0376916
115	3830.0	0.0376916
116	3832.0	0.0376838
117	3834.0	0.0376838
118	3836.0	0.0376838
119	3838.0	0.0376838
120	3840.0	0.0376838
121	3842.0	0.037676
122	3844.0	0.037676
123	3846.0	0.037676
124	3848.0	0.037676
125	3850.0	0.037676
126	3852.0	0.037676
127	3854.0	0.037676
128	3856.0	0.037676
129	3858.0	0.037676
130	3860.0	0.037676
131	3862.0	0.037676
132	3864.0	0.037676
133	3866.0	0.037676
134	3868.0	0.037676
135	3870.0	0.037676
136	3872.0	0.037676
137	3874.0	0.037676
138	3876.0	0.037676
139	3878.0	0.037676
140	3880.0	0.0376681
141	3882.0	0.0376681
142	3884.0	0.0376681
143	3886.0	0.0376681
144	3888.0	0.0376681
145	3890.0	0.0376681
146	3892.0	0.0376681
147	3894.0	0.0376681
148	3896.0	0.0376681
149	3898.0	0.0376681
150	3900.0	0.0376603
151	3902.0	0.0376681
152	3904.0	0.0376681
153	3906.0	0.0376681
154	3908.0	0.0376681
155	3910.0	0.0376681
156	3912.0	0.0376603
157	3914.0	0.0376603
158	3916.0	0.0376603
159	3918.0	0.0376603
160	3920.0	0.0376603
161	3922.0	0.0376603
162	3924.0	0.0376603
163	3926.0	0.0376603
164	3928.0	0.0376603
165	3930.0	0.0376603
166	3932.0	0.0376603
167	3934.0	0.0376603
168	3936.0	0.0376603
169	3938.0	0.0376603
170	3940.0	0.0376603
171	3942.0	0.0376603
172	3944.0	0.0376525
173	3946.0	0.0376525
174	3948.0	0.0376525
175	3950.0	0.0376525
176	3952.0	0.0376525
177	3954.0	0.0376525
178	3956.0	0.0376525
179	3958.0	0.0376525
180	3960.0	0.0376525
181	3962.0	0.0376525
182	3964.0	0.0376525
183	3966.0	0.0376525
184	3968.0	0.0376603
185	3970.0	0.0376603
186	3972.0	0.0376525
187	3974.0	0.0376603
188	3976.0	0.0376603
189	3978.0	0.0376603
190	3980.0	0.0376525
191	3982.0	0.0376525
192	3984.0	0.0376525
193	3986.0	0.0376603
194	3988.0	0.0376603
195	3990.0	0.0376525
196	3992.0	0.0376525
197	3994.0	0.0376525
198	3996.0	0.0376525
199	3998.0	0.0376525
200	4000.0	0.0376525
201	4002.0	0.0376525
202	4004.0	0.0376525
203	4006.0	0.0376525
204	4008.0	0.0376525
205	4010.0	0.0376525
206	4012.0	0.0376525
207	4014.0	0.0376525
208	4016.0	0.0376525
209	4018.0	0.0376525
210	4020.0	0.0376525
211	4022.0	0.0376525
212	4024.0	0.0376525
213	4026.0	0.0376525
214	4028.0	0.0376525
215	4030.0	0.0376447
216	4032.0	0.0376447
